date,time,name,value,datetime,source_file
2026-03-20,14:14:34,autoclaved soil,108.75,2026-03-20 14:14:34,20260802_soil_log.txt
2026-03-20,14:19:04,autoclaved soil,77.375,2026-03-20 14:19:04,20260802_soil_log.txt
2026-03-20,14:19:35,autoclaved soil,100.125,2026-03-20 14:19:35,20260802_soil_log.txt
2026-03-20,14:24:05,autoclaved soil,65.375,2026-03-20 14:24:05,20260802_soil_log.txt
2026-03-20,14:29:05,autoclaved soil,65.375,2026-03-20 14:29:05,20260802_soil_log.txt
2026-03-20,14:34:05,autoclaved soil,55.0,2026-03-20 14:34:05,20260802_soil_log.txt
2026-03-20,14:39:05,autoclaved soil,58.87500000000001,2026-03-20 14:39:05,20260802_soil_log.txt
2026-03-20,14:44:06,autoclaved soil,55.125,2026-03-20 14:44:06,20260802_soil_log.txt
2026-03-20,14:49:06,autoclaved soil,54.625,2026-03-20 14:49:06,20260802_soil_log.txt
2026-03-20,14:54:06,autoclaved soil,52.875,2026-03-20 14:54:06,20260802_soil_log.txt
2026-03-20,14:59:06,autoclaved soil,56.25,2026-03-20 14:59:06,20260802_soil_log.txt
2026-03-20,15:04:06,autoclaved soil,52.00000000000001,2026-03-20 15:04:06,20260802_soil_log.txt
2026-03-20,15:09:07,autoclaved soil,53.75,2026-03-20 15:09:07,20260802_soil_log.txt
2026-03-20,15:14:07,autoclaved soil,52.25,2026-03-20 15:14:07,20260802_soil_log.txt
2026-03-20,15:19:07,autoclaved soil,54.125,2026-03-20 15:19:07,20260802_soil_log.txt
2026-03-20,15:24:07,autoclaved soil,51.75000000000001,2026-03-20 15:24:07,20260802_soil_log.txt
2026-03-20,15:29:08,autoclaved soil,50.25,2026-03-20 15:29:08,20260802_soil_log.txt
2026-03-20,15:34:08,autoclaved soil,46.625,2026-03-20 15:34:08,20260802_soil_log.txt
2026-03-20,15:39:08,autoclaved soil,48.625,2026-03-20 15:39:08,20260802_soil_log.txt
2026-03-20,15:44:08,autoclaved soil,44.25,2026-03-20 15:44:08,20260802_soil_log.txt
2026-03-20,15:49:08,autoclaved soil,39.75,2026-03-20 15:49:08,20260802_soil_log.txt
2026-03-20,15:54:09,autoclaved soil,39.625,2026-03-20 15:54:09,20260802_soil_log.txt
2026-03-20,15:59:09,autoclaved soil,45.375,2026-03-20 15:59:09,20260802_soil_log.txt
2026-03-20,16:04:09,autoclaved soil,44.625,2026-03-20 16:04:09,20260802_soil_log.txt
2026-03-20,16:09:09,autoclaved soil,42.0,2026-03-20 16:09:09,20260802_soil_log.txt
2026-03-20,16:14:10,autoclaved soil,36.5,2026-03-20 16:14:10,20260802_soil_log.txt
2026-03-20,16:19:10,autoclaved soil,39.5,2026-03-20 16:19:10,20260802_soil_log.txt
2026-03-20,16:24:10,autoclaved soil,41.5,2026-03-20 16:24:10,20260802_soil_log.txt
2026-03-20,16:29:10,autoclaved soil,34.25,2026-03-20 16:29:10,20260802_soil_log.txt
2026-03-20,16:34:10,autoclaved soil,34.125,2026-03-20 16:34:10,20260802_soil_log.txt
2026-03-20,16:39:11,autoclaved soil,32.375,2026-03-20 16:39:11,20260802_soil_log.txt
2026-03-20,16:44:11,autoclaved soil,32.875,2026-03-20 16:44:11,20260802_soil_log.txt
2026-03-20,16:49:11,autoclaved soil,33.0,2026-03-20 16:49:11,20260802_soil_log.txt
2026-03-20,16:54:11,autoclaved soil,35.87500000000001,2026-03-20 16:54:11,20260802_soil_log.txt
2026-03-20,16:59:12,autoclaved soil,35.125,2026-03-20 16:59:12,20260802_soil_log.txt
2026-03-20,17:04:12,autoclaved soil,32.0,2026-03-20 17:04:12,20260802_soil_log.txt
2026-03-20,17:09:12,autoclaved soil,27.75,2026-03-20 17:09:12,20260802_soil_log.txt
2026-03-20,17:14:12,autoclaved soil,33.25,2026-03-20 17:14:12,20260802_soil_log.txt
2026-03-20,17:19:13,autoclaved soil,32.5,2026-03-20 17:19:13,20260802_soil_log.txt
2026-03-20,17:24:13,autoclaved soil,31.125,2026-03-20 17:24:13,20260802_soil_log.txt
2026-03-20,17:29:13,autoclaved soil,27.75,2026-03-20 17:29:13,20260802_soil_log.txt
2026-03-20,17:34:13,autoclaved soil,27.875,2026-03-20 17:34:13,20260802_soil_log.txt
2026-03-20,17:39:13,autoclaved soil,29.500000000000004,2026-03-20 17:39:13,20260802_soil_log.txt
2026-03-20,17:44:14,autoclaved soil,28.875,2026-03-20 17:44:14,20260802_soil_log.txt
2026-03-20,17:49:14,autoclaved soil,27.875,2026-03-20 17:49:14,20260802_soil_log.txt
2026-03-20,17:54:14,autoclaved soil,24.0,2026-03-20 17:54:14,20260802_soil_log.txt
2026-03-20,17:59:14,autoclaved soil,21.0,2026-03-20 17:59:14,20260802_soil_log.txt
2026-03-20,18:04:15,autoclaved soil,24.625,2026-03-20 18:04:15,20260802_soil_log.txt
2026-03-20,18:09:15,autoclaved soil,23.25,2026-03-20 18:09:15,20260802_soil_log.txt
2026-03-20,18:14:15,autoclaved soil,24.25,2026-03-20 18:14:15,20260802_soil_log.txt
2026-03-20,18:19:15,autoclaved soil,17.5,2026-03-20 18:19:15,20260802_soil_log.txt
2026-03-20,18:24:16,autoclaved soil,16.125,2026-03-20 18:24:16,20260802_soil_log.txt
2026-03-20,18:29:16,autoclaved soil,15.875,2026-03-20 18:29:16,20260802_soil_log.txt
2026-03-20,18:34:16,autoclaved soil,21.375,2026-03-20 18:34:16,20260802_soil_log.txt
2026-03-20,18:39:16,autoclaved soil,20.75,2026-03-20 18:39:16,20260802_soil_log.txt
2026-03-20,18:44:16,autoclaved soil,16.25,2026-03-20 18:44:16,20260802_soil_log.txt
2026-03-20,18:49:17,autoclaved soil,15.125,2026-03-20 18:49:17,20260802_soil_log.txt
2026-03-20,18:54:17,autoclaved soil,12.625,2026-03-20 18:54:17,20260802_soil_log.txt
2026-03-20,18:59:17,autoclaved soil,13.5,2026-03-20 18:59:17,20260802_soil_log.txt
2026-03-20,19:04:17,autoclaved soil,9.5,2026-03-20 19:04:17,20260802_soil_log.txt
2026-03-20,19:09:18,autoclaved soil,11.5,2026-03-20 19:09:18,20260802_soil_log.txt
2026-03-20,19:14:18,autoclaved soil,13.625,2026-03-20 19:14:18,20260802_soil_log.txt
2026-03-20,19:19:18,autoclaved soil,9.125,2026-03-20 19:19:18,20260802_soil_log.txt
2026-03-20,19:24:18,autoclaved soil,8.75,2026-03-20 19:24:18,20260802_soil_log.txt
2026-03-20,19:29:18,autoclaved soil,8.75,2026-03-20 19:29:18,20260802_soil_log.txt
2026-03-20,19:34:19,autoclaved soil,10.0,2026-03-20 19:34:19,20260802_soil_log.txt
2026-03-20,19:39:19,autoclaved soil,9.125,2026-03-20 19:39:19,20260802_soil_log.txt
2026-03-20,19:44:19,autoclaved soil,5.5,2026-03-20 19:44:19,20260802_soil_log.txt
2026-03-20,19:49:19,autoclaved soil,4.875,2026-03-20 19:49:19,20260802_soil_log.txt
2026-03-20,19:54:20,autoclaved soil,0.5,2026-03-20 19:54:20,20260802_soil_log.txt
2026-03-20,19:59:20,autoclaved soil,0.75,2026-03-20 19:59:20,20260802_soil_log.txt
2026-03-20,20:04:20,autoclaved soil,-0.375,2026-03-20 20:04:20,20260802_soil_log.txt
2026-03-20,20:09:20,autoclaved soil,1.5,2026-03-20 20:09:20,20260802_soil_log.txt
2026-03-20,20:14:20,autoclaved soil,-0.375,2026-03-20 20:14:20,20260802_soil_log.txt
2026-03-20,20:19:21,autoclaved soil,1.0,2026-03-20 20:19:21,20260802_soil_log.txt
2026-03-20,20:24:21,autoclaved soil,-0.25,2026-03-20 20:24:21,20260802_soil_log.txt
2026-03-20,20:29:21,autoclaved soil,-0.125,2026-03-20 20:29:21,20260802_soil_log.txt
2026-03-20,20:34:21,autoclaved soil,-7.125,2026-03-20 20:34:21,20260802_soil_log.txt
2026-03-20,20:39:22,autoclaved soil,-7.75,2026-03-20 20:39:22,20260802_soil_log.txt
2026-03-20,20:44:22,autoclaved soil,-7.75,2026-03-20 20:44:22,20260802_soil_log.txt
2026-03-20,20:49:22,autoclaved soil,-5.0,2026-03-20 20:49:22,20260802_soil_log.txt
2026-03-20,20:54:22,autoclaved soil,-7.25,2026-03-20 20:54:22,20260802_soil_log.txt
2026-03-20,20:59:22,autoclaved soil,-6.875,2026-03-20 20:59:22,20260802_soil_log.txt
2026-03-20,21:04:23,autoclaved soil,-10.75,2026-03-20 21:04:23,20260802_soil_log.txt
2026-03-20,21:09:23,autoclaved soil,-7.625,2026-03-20 21:09:23,20260802_soil_log.txt
2026-03-20,21:14:23,autoclaved soil,-10.5,2026-03-20 21:14:23,20260802_soil_log.txt
2026-03-20,21:19:23,autoclaved soil,-14.750000000000002,2026-03-20 21:19:23,20260802_soil_log.txt
2026-03-20,21:24:24,autoclaved soil,-9.75,2026-03-20 21:24:24,20260802_soil_log.txt
2026-03-20,21:29:24,autoclaved soil,-16.5,2026-03-20 21:29:24,20260802_soil_log.txt
2026-03-20,21:34:24,autoclaved soil,-13.5,2026-03-20 21:34:24,20260802_soil_log.txt
2026-03-20,21:39:24,autoclaved soil,-15.625,2026-03-20 21:39:24,20260802_soil_log.txt
2026-03-20,21:44:24,autoclaved soil,-12.0,2026-03-20 21:44:24,20260802_soil_log.txt
2026-03-20,21:49:25,autoclaved soil,-15.0,2026-03-20 21:49:25,20260802_soil_log.txt
2026-03-20,21:54:25,autoclaved soil,-14.625,2026-03-20 21:54:25,20260802_soil_log.txt
2026-03-20,21:59:25,autoclaved soil,-21.750000000000004,2026-03-20 21:59:25,20260802_soil_log.txt
2026-03-20,22:04:25,autoclaved soil,-17.625,2026-03-20 22:04:25,20260802_soil_log.txt
2026-03-20,22:09:26,autoclaved soil,-17.5,2026-03-20 22:09:26,20260802_soil_log.txt
2026-03-20,22:14:26,autoclaved soil,-16.5,2026-03-20 22:14:26,20260802_soil_log.txt
2026-03-20,22:19:26,autoclaved soil,-17.750000000000004,2026-03-20 22:19:26,20260802_soil_log.txt
2026-03-20,22:24:26,autoclaved soil,-20.375,2026-03-20 22:24:26,20260802_soil_log.txt
2026-03-20,22:29:27,autoclaved soil,-23.375,2026-03-20 22:29:27,20260802_soil_log.txt
2026-03-20,22:34:27,autoclaved soil,-17.875000000000004,2026-03-20 22:34:27,20260802_soil_log.txt
2026-03-20,22:39:27,autoclaved soil,-24.625,2026-03-20 22:39:27,20260802_soil_log.txt
2026-03-20,22:44:27,autoclaved soil,-24.125,2026-03-20 22:44:27,20260802_soil_log.txt
2026-03-20,22:49:27,autoclaved soil,-19.75,2026-03-20 22:49:27,20260802_soil_log.txt
2026-03-20,22:54:28,autoclaved soil,-24.125,2026-03-20 22:54:28,20260802_soil_log.txt
2026-03-20,22:59:28,autoclaved soil,-19.25,2026-03-20 22:59:28,20260802_soil_log.txt
2026-03-20,23:04:28,autoclaved soil,-23.125,2026-03-20 23:04:28,20260802_soil_log.txt
2026-03-20,23:09:28,autoclaved soil,-25.375,2026-03-20 23:09:28,20260802_soil_log.txt
2026-03-20,23:14:28,autoclaved soil,-25.625000000000004,2026-03-20 23:14:28,20260802_soil_log.txt
2026-03-20,23:19:29,autoclaved soil,-24.625,2026-03-20 23:19:29,20260802_soil_log.txt
2026-03-20,23:24:29,autoclaved soil,-25.25,2026-03-20 23:24:29,20260802_soil_log.txt
2026-03-20,23:29:29,autoclaved soil,-25.750000000000004,2026-03-20 23:29:29,20260802_soil_log.txt
2026-03-20,23:34:29,autoclaved soil,-25.125,2026-03-20 23:34:29,20260802_soil_log.txt
2026-03-20,23:39:30,autoclaved soil,-23.875,2026-03-20 23:39:30,20260802_soil_log.txt
2026-03-20,23:44:30,autoclaved soil,-22.25,2026-03-20 23:44:30,20260802_soil_log.txt
2026-03-20,23:49:30,autoclaved soil,-23.125,2026-03-20 23:49:30,20260802_soil_log.txt
2026-03-20,23:54:30,autoclaved soil,-24.625,2026-03-20 23:54:30,20260802_soil_log.txt
2026-03-20,23:59:31,autoclaved soil,-20.25,2026-03-20 23:59:31,20260802_soil_log.txt
2026-03-21,00:04:31,autoclaved soil,-21.750000000000004,2026-03-21 00:04:31,20260802_soil_log.txt
2026-03-21,00:09:31,autoclaved soil,-21.750000000000004,2026-03-21 00:09:31,20260802_soil_log.txt
2026-03-21,00:14:31,autoclaved soil,-25.625000000000004,2026-03-21 00:14:31,20260802_soil_log.txt
2026-03-21,00:19:31,autoclaved soil,-22.125,2026-03-21 00:19:31,20260802_soil_log.txt
2026-03-21,00:24:32,autoclaved soil,-21.750000000000004,2026-03-21 00:24:32,20260802_soil_log.txt
2026-03-21,00:29:32,autoclaved soil,-24.0,2026-03-21 00:29:32,20260802_soil_log.txt
2026-03-21,00:34:32,autoclaved soil,-26.375,2026-03-21 00:34:32,20260802_soil_log.txt
2026-03-21,00:39:32,autoclaved soil,-25.125,2026-03-21 00:39:32,20260802_soil_log.txt
2026-03-21,00:44:33,autoclaved soil,-23.375,2026-03-21 00:44:33,20260802_soil_log.txt
2026-03-21,00:49:33,autoclaved soil,-24.875,2026-03-21 00:49:33,20260802_soil_log.txt
2026-03-21,00:54:33,autoclaved soil,-21.5,2026-03-21 00:54:33,20260802_soil_log.txt
2026-03-21,00:59:33,autoclaved soil,-21.375,2026-03-21 00:59:33,20260802_soil_log.txt
2026-03-21,01:04:33,autoclaved soil,-26.25,2026-03-21 01:04:33,20260802_soil_log.txt
2026-03-21,01:09:34,autoclaved soil,-26.5,2026-03-21 01:09:34,20260802_soil_log.txt
2026-03-21,01:14:34,autoclaved soil,-20.875,2026-03-21 01:14:34,20260802_soil_log.txt
2026-03-21,01:19:34,autoclaved soil,-27.375,2026-03-21 01:19:34,20260802_soil_log.txt
2026-03-21,01:24:34,autoclaved soil,-23.125,2026-03-21 01:24:34,20260802_soil_log.txt
2026-03-21,01:29:34,autoclaved soil,-26.875,2026-03-21 01:29:34,20260802_soil_log.txt
2026-03-21,01:34:35,autoclaved soil,-21.375,2026-03-21 01:34:35,20260802_soil_log.txt
2026-03-21,01:39:35,autoclaved soil,-21.625000000000004,2026-03-21 01:39:35,20260802_soil_log.txt
